Ime,URL,Gorovje,Višina (m),Zahtevnost (min),Zahtevnost (max),Priljubljenost
Mala Boka,https://www.hribi.net/gora/mala_boka/1/1337,Julijske Alpe,440,lahka,lahka,1331
Mala Plešivica,https://www.hribi.net/gora/mala_plesivica/26/1162,"Goriško, Notranjsko in Snežniško hribovje",953,lahka,lahka,1333
Veliki hrib,https://www.hribi.net/gora/veliki_hrib/5/492,Polhograjsko hribovje in Ljubljana,815,ni podatka,ni podatka,1335
Zjat,https://www.hribi.net/gora/zjat/26/1707,"Goriško, Notranjsko in Snežniško hribovje",449,lahka,delno zahtevna,1337
Lovsko zavetišče pod Čavnom,https://www.hribi.net/gora/lovsko_zavetisce_pod_cavnom/26/1211,"Goriško, Notranjsko in Snežniško hribovje",980,lahka,lahka,1338
Sveti Štefan (Zanigrad),https://www.hribi.net/gora/sveti_stefan_zanigrad/26/1706,"Goriško, Notranjsko in Snežniško hribovje",246,lahka,lahka,1340
Sv. Miklavž nad Mačami,https://www.hribi.net/gora/sv_miklavz_nad_macami/3/2361,Kamniško Savinjske Alpe,651,lahka,lahka,1341
Na gradu,https://www.hribi.net/gora/na_gradu/26/1767,"Goriško, Notranjsko in Snežniško hribovje",1115,lahka,lahka,1342
Smolnik,https://www.hribi.net/gora/smolnik/3/1403,Kamniško Savinjske Alpe,1002,lahka,lahka,1343
Rigeljc,https://www.hribi.net/gora/rigeljc/1/1626,Julijske Alpe,1768,ni podatka,ni podatka,1344
Stadorski Orliči,https://www.hribi.net/gora/stadorski_orlici/1/1627,Julijske Alpe,1782,ni podatka,ni podatka,1346
Grmada (Dobrovlje),https://www.hribi.net/gora/grmada_dobrovlje/3/1974,Kamniško Savinjske Alpe,898,lahka,lahka,1347
Rušni vrh,https://www.hribi.net/gora/rusni_vrh/1/1755,Julijske Alpe,1786,lahka,lahka,1348
Sveti Ahac (Kališe),https://www.hribi.net/gora/sveti_ahac_kalise/3/1450,Kamniško Savinjske Alpe,941,ni podatka,ni podatka,1349
Požar,https://www.hribi.net/gora/pozar/1/1815,Julijske Alpe,1543,delno zahtevna,delno zahtevna,1350
Lipovec,https://www.hribi.net/gora/lipovec/25/1934,Zasavsko - Posavsko hribovje in Dolenjska,848,lahka,lahka,1351
Špicberg,https://www.hribi.net/gora/spicberg/25/2158,Zasavsko - Posavsko hribovje in Dolenjska,490,lahka,lahka,1352
Mali Raskovec,https://www.hribi.net/gora/mali_raskovec/1/1106,Julijske Alpe,1946,ni podatka,ni podatka,1353
Krempa,https://www.hribi.net/gora/krempa/26/1477,"Goriško, Notranjsko in Snežniško hribovje",944,lahka,lahka,1354
Razsušica,https://www.hribi.net/gora/razsusica/26/1154,"Goriško, Notranjsko in Snežniško hribovje",1083,lahka,lahka,1355
Frančiškov hrib,https://www.hribi.net/gora/franciskov_hrib/26/2145,"Goriško, Notranjsko in Snežniško hribovje",632,lahka,delno zahtevna,1357
Formila na Boču,https://www.hribi.net/gora/formila_na_bocu/11/2366,Karavanke,624,lahka,lahka,1359
Mali Travnik,https://www.hribi.net/gora/mali_travnik/3/1235,Kamniško Savinjske Alpe,1532,lahka,lahka,1360
Smuk,https://www.hribi.net/gora/smuk/25/2116,Zasavsko - Posavsko hribovje in Dolenjska,545,lahka,lahka,1361
Slap Kotel,https://www.hribi.net/gora/slap_kotel/26/2331,"Goriško, Notranjsko in Snežniško hribovje",799,lahka,lahka,1362
Limberk,https://www.hribi.net/gora/limberk/25/1166,Zasavsko - Posavsko hribovje in Dolenjska,687,lahka,lahka,1364
Vrh Leh,https://www.hribi.net/gora/vrh_leh/1/1614,Julijske Alpe,1958,ni podatka,ni podatka,1365
Turška jama v Gozdašnici,https://www.hribi.net/gora/turska_jama_v_gozdasnici/11/1414,Karavanke,835,lahka,lahka,1366
Vgrizeva planina / Ogrisalm,https://www.hribi.net/gora/vgrizeva_planina___ogrisalm/11/583,Karavanke,1569,lahka,lahka,1368
Krancelj,https://www.hribi.net/gora/krancelj/21/1730,"Škofjeloško, Cerkljansko hribovje in Jelovica",453,lahka,lahka,1370
Sveti Tomaž (Planinca),https://www.hribi.net/gora/sveti_tomaz_planinca/26/1663,"Goriško, Notranjsko in Snežniško hribovje",572,lahka,lahka,1371
Dom na Dobrovljah,https://www.hribi.net/gora/dom_na_dobrovljah/3/1972,Kamniško Savinjske Alpe,745,lahka,lahka,1372
Kalanov hrib (Kalanček),https://www.hribi.net/gora/kalanov_hrib_kalancek/25/1693,Zasavsko - Posavsko hribovje in Dolenjska,626,lahka,lahka,1373
Planina Zgornja Konjščica,https://www.hribi.net/gora/planina_zgornja_konjscica/11/1245,Karavanke,1578,lahka,lahka,1374
Ahac,https://www.hribi.net/gora/ahac/26/1950,"Goriško, Notranjsko in Snežniško hribovje",799,lahka,lahka,1375
Vrh nad Vodeno Rupo,https://www.hribi.net/gora/vrh_nad_vodeno_rupo/1/1538,Julijske Alpe,1995,ni podatka,ni podatka,1376
Ciganov vrh (Korinjski hrib),https://www.hribi.net/gora/ciganov_vrh_korinjski_hrib/25/2336,Zasavsko - Posavsko hribovje in Dolenjska,731,lahka,lahka,1378
Sitarjevec,https://www.hribi.net/gora/sitarjevec/25/2081,Zasavsko - Posavsko hribovje in Dolenjska,448,lahka,lahka,1379
Livoldski vrh,https://www.hribi.net/gora/livoldski_vrh/25/1192,Zasavsko - Posavsko hribovje in Dolenjska,994,lahka,lahka,1380
Pri Banderi,https://www.hribi.net/gora/pri_banderi/1/1615,Julijske Alpe,1974,ni podatka,ni podatka,1381
Sv. Uršula nad Dramljami,https://www.hribi.net/gora/sv_ursula_nad_dramljami/11/2321,Karavanke,464,lahka,lahka,1382
Sveti Donat,https://www.hribi.net/gora/sveti_donat/11/847,Karavanke,511,lahka,lahka,1385
Mali Karman / Monte Cuarnan,https://www.hribi.net/gora/mali_karman___monte_cuarnan/1/2375,Julijske Alpe,1372,lahka,lahka,1386
Visoka glava,https://www.hribi.net/gora/visoka_glava/1/1684,Julijske Alpe,1822,ni podatka,ni podatka,1387
Lahomniški sopot,https://www.hribi.net/gora/lahomniski_sopot/25/2345,Zasavsko - Posavsko hribovje in Dolenjska,325,lahka,lahka,1389
Selska planina,https://www.hribi.net/gora/selska_planina/21/1998,"Škofjeloško, Cerkljansko hribovje in Jelovica",1140,lahka,lahka,1391
Klečica,https://www.hribi.net/gora/klecica/1/2123,Julijske Alpe,1889,ni podatka,ni podatka,1392
Kalvarija nad Jesenicami,https://www.hribi.net/gora/kalvarija_nad_jesenicami/11/1248,Karavanke,784,lahka,lahka,1393
Mala Boncla (Bavha),https://www.hribi.net/gora/mala_boncla_bavha/11/1264,Karavanke,1131,lahka,lahka,1394
Vitovsko jezero,https://www.hribi.net/gora/vitovsko_jezero/26/2149,"Goriško, Notranjsko in Snežniško hribovje",445,lahka,lahka,1395
Škofje,https://www.hribi.net/gora/skofje/21/1711,"Škofjeloško, Cerkljansko hribovje in Jelovica",973,lahka,lahka,1396
Počitniški dom Goričane,https://www.hribi.net/gora/pocitniski_dom_goricane/21/1997,"Škofjeloško, Cerkljansko hribovje in Jelovica",1145,lahka,lahka,1397
Iški morost,https://www.hribi.net/gora/iski_morost/26/2290,"Goriško, Notranjsko in Snežniško hribovje",289,lahka,lahka,1398
Planina Črča,https://www.hribi.net/gora/planina_crca/1/1591,Julijske Alpe,800,lahka,lahka,1399
Dom v Iškem Vintgarju,https://www.hribi.net/gora/dom_v_iskem_vintgarju/26/2334,"Goriško, Notranjsko in Snežniško hribovje",360,lahka,lahka,1401
Ruš,https://www.hribi.net/gora/rus/11/1926,Karavanke,1614,delno zahtevna,delno zahtevna,1403
Visoki hrib,https://www.hribi.net/gora/visoki_hrib/5/1454,Polhograjsko hribovje in Ljubljana,602,lahka,lahka,1404
Planina Zgornja Gorjuda,https://www.hribi.net/gora/planina_zgornja_gorjuda/1/1040,Julijske Alpe,1404,zahtevna,zahtevna,1405
Novaška gora,https://www.hribi.net/gora/novaska_gora/26/1224,"Goriško, Notranjsko in Snežniško hribovje",998,lahka,lahka,1406
Globočak,https://www.hribi.net/gora/globocak/26/1774,"Goriško, Notranjsko in Snežniško hribovje",809,lahka,lahka,1407
Fričev vrh,https://www.hribi.net/gora/fricev_vrh/11/1654,Karavanke,881,lahka,lahka,1408
Tamarča,https://www.hribi.net/gora/tamarca/11/1918,Karavanke,1728,lahka,lahka,1410
Sveti Lenart (Bodešče),https://www.hribi.net/gora/sveti_lenart_bodesce/1/2326,Julijske Alpe,485,lahka,lahka,1411
Gradišče (nad Spodnjo Idrijo),https://www.hribi.net/gora/gradisce_nad_spodnjo_idrijo/21/1640,"Škofjeloško, Cerkljansko hribovje in Jelovica",998,lahka,delno zahtevna,1413
Ortneški Stari grad,https://www.hribi.net/gora/ortneski_stari_grad/26/1173,"Goriško, Notranjsko in Snežniško hribovje",765,lahka,lahka,1414
Planinski dom v Novem Svetu,https://www.hribi.net/gora/planinski_dom_v_novem_svetu/26/1199,"Goriško, Notranjsko in Snežniško hribovje",518,lahka,lahka,1415
Ostri Vrh nad Vipavsko dolino,https://www.hribi.net/gora/ostri_vrh_nad_vipavsko_dolino/26/2092,"Goriško, Notranjsko in Snežniško hribovje",422,ni podatka,ni podatka,1417
Sv. Peter (Olešče),https://www.hribi.net/gora/sv_peter_olesce/25/2343,Zasavsko - Posavsko hribovje in Dolenjska,525,lahka,lahka,1418
Veliki Gradež,https://www.hribi.net/gora/veliki_gradez/26/1716,"Goriško, Notranjsko in Snežniško hribovje",507,lahka,lahka,1419
Grilova kapela na Boču,https://www.hribi.net/gora/grilova_kapela_na_bocu/11/2364,Karavanke,534,lahka,lahka,1420
Rezinski vrh,https://www.hribi.net/gora/rezinski_vrh/26/1741,"Goriško, Notranjsko in Snežniško hribovje",1231,lahka,lahka,1421
Vrhe nad Dobrovo,https://www.hribi.net/gora/vrhe_nad_dobrovo/5/1994,Polhograjsko hribovje in Ljubljana,603,lahka,lahka,1422
Rekaršica,https://www.hribi.net/gora/rekarsica/11/1257,Karavanke,1554,lahka,lahka,1424
Planina Jegno,https://www.hribi.net/gora/planina_jegno/26/1159,"Goriško, Notranjsko in Snežniško hribovje",715,lahka,lahka,1427
Planina Ravni,https://www.hribi.net/gora/planina_ravni/3/1864,Kamniško Savinjske Alpe,1075,lahka,lahka,1428
Pri knapu pod Babo,https://www.hribi.net/gora/pri_knapu_pod_babo/25/1220,Zasavsko - Posavsko hribovje in Dolenjska,552,lahka,lahka,1429
Črepič,https://www.hribi.net/gora/crepic/11/1387,Karavanke,798,lahka,lahka,1431
Lovska koča na Toli,https://www.hribi.net/gora/lovska_koca_na_toli/21/1960,"Škofjeloško, Cerkljansko hribovje in Jelovica",1040,lahka,lahka,1432
Ježa,https://www.hribi.net/gora/jeza/26/1763,"Goriško, Notranjsko in Snežniško hribovje",949,lahka,lahka,1433
Oslica (Bohor),https://www.hribi.net/gora/oslica_bohor/25/2241,Zasavsko - Posavsko hribovje in Dolenjska,860,lahka,lahka,1434
Frčkova planina,https://www.hribi.net/gora/frckova_planina/1/2139,Julijske Alpe,1335,lahka,lahka,1435
Partizanska bolnišnica na Mežakli,https://www.hribi.net/gora/partizanska_bolnisnica_na_mezakli/1/1260,Julijske Alpe,1050,lahka,lahka,1436
Turni,https://www.hribi.net/gora/turni/3/1726,Kamniško Savinjske Alpe,1240,lahka,lahka,1437
Sveti Mihael na Samotorici,https://www.hribi.net/gora/sveti_mihael_na_samotorici/5/1180,Polhograjsko hribovje in Ljubljana,665,lahka,lahka,1439
Debeli vrh (Bohor),https://www.hribi.net/gora/debeli_vrh_bohor/25/2244,Zasavsko - Posavsko hribovje in Dolenjska,921,lahka,lahka,1440
Pašnik Lipovec,https://www.hribi.net/gora/pasnik_lipovec/25/1933,Zasavsko - Posavsko hribovje in Dolenjska,790,lahka,lahka,1441
Deveti konfin (kota 942),https://www.hribi.net/gora/deveti_konfin_kota_942/26/1765,"Goriško, Notranjsko in Snežniško hribovje",942,lahka,lahka,1443
Velika Jazbina,https://www.hribi.net/gora/velika_jazbina/26/1977,"Goriško, Notranjsko in Snežniško hribovje",1201,delno zahtevna,delno zahtevna,1444
Veliki vrh nad Završnikom,https://www.hribi.net/gora/veliki_vrh_nad_zavrsnikom/11/1978,Karavanke,968,lahka,lahka,1445
Straža,https://www.hribi.net/gora/straza/5/1425,Polhograjsko hribovje in Ljubljana,395,lahka,lahka,1446
Lisec (Liška gora),https://www.hribi.net/gora/lisec_liska_gora/25/2172,Zasavsko - Posavsko hribovje in Dolenjska,565,lahka,lahka,1449
Sveti Gregor na Slemenih,https://www.hribi.net/gora/sveti_gregor_na_slemenih/26/2002,"Goriško, Notranjsko in Snežniško hribovje",737,lahka,lahka,1450
Srednji vrh pri Kozleku,https://www.hribi.net/gora/srednji_vrh_pri_kozleku/26/820,"Goriško, Notranjsko in Snežniško hribovje",923,lahka,lahka,1451
Sveta Marjeta na Boču,https://www.hribi.net/gora/sveta_marjeta_na_bocu/11/2376,Karavanke,655,lahka,lahka,1452
Petelinjsko jezero,https://www.hribi.net/gora/petelinjsko_jezero/26/1674,"Goriško, Notranjsko in Snežniško hribovje",530,lahka,lahka,1453
Ribenska gora,https://www.hribi.net/gora/ribenska_gora/1/1589,Julijske Alpe,588,lahka,lahka,1454
Strešni vrh (Svibno),https://www.hribi.net/gora/stresni_vrh_svibno/25/2140,Zasavsko - Posavsko hribovje in Dolenjska,523,lahka,lahka,1455
Sveti Lenart (Bača pri Podbrdu),https://www.hribi.net/gora/sveti_lenart_baca_pri_podbrdu/1/1928,Julijske Alpe,751,lahka,lahka,1456
Planina Ravna,https://www.hribi.net/gora/planina_ravna/1/1527,Julijske Alpe,1515,lahka,lahka,1457
Kameni zid,https://www.hribi.net/gora/kameni_zid/26/1178,"Goriško, Notranjsko in Snežniško hribovje",1081,lahka,lahka,1459
Oblakova planina,https://www.hribi.net/gora/oblakova_planina/21/1999,"Škofjeloško, Cerkljansko hribovje in Jelovica",1100,lahka,lahka,1460
Vrhe,https://www.hribi.net/gora/vrhe/3/1679,Kamniško Savinjske Alpe,965,lahka,lahka,1461
Sveti Avguštin,https://www.hribi.net/gora/sveti_avgustin/4/1397,Pohorje in ostala severovzhodna Slovenija,504,lahka,lahka,1462
Planina Ilovica,https://www.hribi.net/gora/planina_ilovica/11/2099,Karavanke,1462,lahka,lahka,1463
Vošni vrh,https://www.hribi.net/gora/vosni_vrh/1/2138,Julijske Alpe,1621,lahka,lahka,1464
Kregovnik,https://www.hribi.net/gora/kregovnik/5/1490,Polhograjsko hribovje in Ljubljana,692,lahka,lahka,1466
Strmca,https://www.hribi.net/gora/strmca/5/1955,Polhograjsko hribovje in Ljubljana,472,lahka,lahka,1467
Trinški vrh,https://www.hribi.net/gora/trinski_vrh/26/1768,"Goriško, Notranjsko in Snežniško hribovje",1138,lahka,lahka,1468
Veliki vrh nad Komatevro,https://www.hribi.net/gora/veliki_vrh_nad_komatevro/11/1927,Karavanke,1634,ni podatka,ni podatka,1469
Golarjeva peč,https://www.hribi.net/gora/golarjeva_pec/11/2307,Karavanke,1276,lahka,lahka,1471
Sveti Vid (Vidovska planota),https://www.hribi.net/gora/sveti_vid_vidovska_planota/26/2151,"Goriško, Notranjsko in Snežniško hribovje",846,lahka,lahka,1472
Miklavžev hrib (Miklavški hrib),https://www.hribi.net/gora/miklavzev_hrib_miklavski_hrib/25/2270,Zasavsko - Posavsko hribovje in Dolenjska,394,lahka,lahka,1473
Sveta Mati Božja na Čreti,https://www.hribi.net/gora/sveta_mati_bozja_na_creti/3/1680,Kamniško Savinjske Alpe,944,lahka,lahka,1476
Ribčeva planina,https://www.hribi.net/gora/ribceva_planina/21/1992,"Škofjeloško, Cerkljansko hribovje in Jelovica",1115,lahka,lahka,1477
Razborški ribniki,https://www.hribi.net/gora/razborski_ribniki/11/2356,Karavanke,330,lahka,lahka,1478
Alničje,https://www.hribi.net/gora/alnicje/11/1265,Karavanke,1145,lahka,delno zahtevna,1479
Tinska gora,https://www.hribi.net/gora/tinska_gora/25/2249,Zasavsko - Posavsko hribovje in Dolenjska,409,lahka,lahka,1480
Pečovnik,https://www.hribi.net/gora/pecovnik/11/526,Karavanke,1640,lahka,lahka,1481
Polšakova koča na Zagori,https://www.hribi.net/gora/polsakova_koca_na_zagori/26/803,"Goriško, Notranjsko in Snežniško hribovje",822,lahka,lahka,1482
Babček,https://www.hribi.net/gora/babcek/11/2322,Karavanke,575,lahka,lahka,1483
Sveti Florjan nad Gornjim Gradom,https://www.hribi.net/gora/sveti_florjan_nad_gornjim_gradom/3/1451,Kamniško Savinjske Alpe,743,lahka,lahka,1484
Goli vrh (Cemarovnik),https://www.hribi.net/gora/goli_vrh_cemarovnik/26/1429,"Goriško, Notranjsko in Snežniško hribovje",816,lahka,lahka,1485
Vrh (Šticna),https://www.hribi.net/gora/vrh_sticna/25/2310,Zasavsko - Posavsko hribovje in Dolenjska,679,lahka,lahka,1486
Kraguljše,https://www.hribi.net/gora/kraguljse/11/1728,Karavanke,1828,lahka,lahka,1487
Marija Snežna v Breginjskem kotu,https://www.hribi.net/gora/marija_snezna_v_breginjskem_kotu/1/1406,Julijske Alpe,645,lahka,lahka,1488
Dolski maj,https://www.hribi.net/gora/dolski_maj/26/1698,"Goriško, Notranjsko in Snežniško hribovje",912,lahka,lahka,1491
Bezovec,https://www.hribi.net/gora/bezovec/3/1142,Kamniško Savinjske Alpe,1326,lahka,lahka,1492
Bivak Zanuso na Kolovratu,https://www.hribi.net/gora/bivak_zanuso_na_kolovratu/26/1769,"Goriško, Notranjsko in Snežniško hribovje",1065,lahka,lahka,1493
Studeniški grad,https://www.hribi.net/gora/studeniski_grad/11/2319,Karavanke,315,lahka,lahka,1495
Sveti Primož in Felicijan (Osredek),https://www.hribi.net/gora/sveti_primoz_in_felicijan_osredek/26/2284,"Goriško, Notranjsko in Snežniško hribovje",751,lahka,lahka,1498
"Lipševa vrata (Vrata, Felsentore)",https://www.hribi.net/gora/lipseva_vrata_vrata_felsentore/11/1879,Karavanke,1500,zahtevna,zahtevna,1501
Planina Možine (Razingerjevo molzišče),https://www.hribi.net/gora/planina_mozine_razingerjevo_molzisce/11/1252,Karavanke,1352,lahka,lahka,1502
Zidovnik (Sedovnik),https://www.hribi.net/gora/zidovnik_sedovnik/26/1165,"Goriško, Notranjsko in Snežniško hribovje",575,lahka,lahka,1503
Sv. Križ (Retje),https://www.hribi.net/gora/sv_kriz_retje/25/2360,Zasavsko - Posavsko hribovje in Dolenjska,520,lahka,lahka,1505
Stari grad,https://www.hribi.net/gora/stari_grad/26/1952,"Goriško, Notranjsko in Snežniško hribovje",703,lahka,lahka,1508
Knezova planina (Planina Bela peč),https://www.hribi.net/gora/knezova_planina_planina_bela_pec/3/1501,Kamniško Savinjske Alpe,1350,lahka,lahka,1509
Cerkovni vrh,https://www.hribi.net/gora/cerkovni_vrh/21/1617,"Škofjeloško, Cerkljansko hribovje in Jelovica",804,lahka,lahka,1512
Skubrov vrh,https://www.hribi.net/gora/skubrov_vrh/3/1725,Kamniško Savinjske Alpe,1276,lahka,lahka,1513
Lengarjeva glava,https://www.hribi.net/gora/lengarjeva_glava/1/1814,Julijske Alpe,1498,lahka,lahka,1514
Sveti Martin nad Brišami,https://www.hribi.net/gora/sveti_martin_nad_brisami/5/1489,Polhograjsko hribovje in Ljubljana,567,lahka,lahka,1515
Planinski dom pod Ježo,https://www.hribi.net/gora/planinski_dom_pod_jezo/26/1766,"Goriško, Notranjsko in Snežniško hribovje",740,lahka,lahka,1516
Štor,https://www.hribi.net/gora/stor/21/1685,"Škofjeloško, Cerkljansko hribovje in Jelovica",1005,lahka,lahka,1518
Renški vrh,https://www.hribi.net/gora/renski_vrh/26/1420,"Goriško, Notranjsko in Snežniško hribovje",449,lahka,lahka,1522
Sveti Martin (Šilentabor),https://www.hribi.net/gora/sveti_martin_silentabor/26/1946,"Goriško, Notranjsko in Snežniško hribovje",723,lahka,lahka,1523
Brest (Bohor),https://www.hribi.net/gora/brest_bohor/25/2246,Zasavsko - Posavsko hribovje in Dolenjska,808,lahka,lahka,1525
Bezovec (Dobrovlje),https://www.hribi.net/gora/bezovec_dobrovlje/3/1970,Kamniško Savinjske Alpe,857,lahka,lahka,1527
Kuren (Sveti Miklavž),https://www.hribi.net/gora/kuren_sveti_miklavz/26/1669,"Goriško, Notranjsko in Snežniško hribovje",526,lahka,lahka,1529
Sveta peč / Helige Wand,https://www.hribi.net/gora/sveta_pec___helige_wand/11/1779,Karavanke,1613,ni podatka,ni podatka,1531
Planina Vodol,https://www.hribi.net/gora/planina_vodol/3/1500,Kamniško Savinjske Alpe,1324,lahka,lahka,1532
Lovska koča na Glinu,https://www.hribi.net/gora/lovska_koca_na_glinu/1/2185,Julijske Alpe,1527,lahka,lahka,1533
Leskovica,https://www.hribi.net/gora/leskovica/21/1506,"Škofjeloško, Cerkljansko hribovje in Jelovica",800,lahka,lahka,1534
Sveti Janez in Pavel (Dobrovlje),https://www.hribi.net/gora/sveti_janez_in_pavel_dobrovlje/3/1973,Kamniško Savinjske Alpe,862,lahka,lahka,1535
Rio Bianco / Beli potok,https://www.hribi.net/gora/rio_bianco___beli_potok/1/2269,Julijske Alpe,770,ni podatka,ni podatka,1536
Sveti Rupert nad Drago,https://www.hribi.net/gora/sveti_rupert_nad_drago/26/1151,"Goriško, Notranjsko in Snežniško hribovje",409,lahka,lahka,1537
Mejnik,https://www.hribi.net/gora/mejnik/11/2175,Karavanke,1517,lahka,lahka,1538
Rodne,https://www.hribi.net/gora/rodne/21/1964,"Škofjeloško, Cerkljansko hribovje in Jelovica",698,lahka,lahka,1539
Sveti Gregor na Dobravici,https://www.hribi.net/gora/sveti_gregor_na_dobravici/26/1143,"Goriško, Notranjsko in Snežniško hribovje",432,lahka,lahka,1543
Sveti križ na Hribcu,https://www.hribi.net/gora/sveti_kriz_na_hribcu/5/1603,Polhograjsko hribovje in Ljubljana,380,lahka,lahka,1544
Sveti Jurij nad Tržičem,https://www.hribi.net/gora/sveti_jurij_nad_trzicem/3/931,Kamniško Savinjske Alpe,673,lahka,lahka,1545
Deveti konfin (kota 930),https://www.hribi.net/gora/deveti_konfin_kota_930/26/1764,"Goriško, Notranjsko in Snežniško hribovje",930,lahka,lahka,1546
Bitenjska planina,https://www.hribi.net/gora/bitenjska_planina/21/1991,"Škofjeloško, Cerkljansko hribovje in Jelovica",901,lahka,lahka,1547
Izvir Volaščice,https://www.hribi.net/gora/izvir_volascice/21/1505,"Škofjeloško, Cerkljansko hribovje in Jelovica",650,lahka,lahka,1548
Sveti Jožef (Mlečnik),https://www.hribi.net/gora/sveti_jozef_mlecnik/26/1813,"Goriško, Notranjsko in Snežniško hribovje",441,lahka,lahka,1549
Spominska plošča Jožeta Rozmana,https://www.hribi.net/gora/spominska_plosca_jozeta_rozmana/11/508,Karavanke,1450,lahka,lahka,1551
Planina Strehica,https://www.hribi.net/gora/planina_strehica/1/1528,Julijske Alpe,1359,lahka,lahka,1552
Tolsto,https://www.hribi.net/gora/tolsto/25/1722,Zasavsko - Posavsko hribovje in Dolenjska,780,lahka,lahka,1553
Hribarska (Huda) zijalka,https://www.hribi.net/gora/hribarska_huda_zijalka/11/1931,Karavanke,1140,zahtevna,zahtevna,1554
Stol (Črni hribi),https://www.hribi.net/gora/stol_crni_hribi/26/1424,"Goriško, Notranjsko in Snežniško hribovje",629,lahka,lahka,1555
Lindeški slap,https://www.hribi.net/gora/lindeski_slap/11/1922,Karavanke,555,lahka,lahka,1557
Močnikova planina,https://www.hribi.net/gora/mocnikova_planina/11/1263,Karavanke,1275,lahka,lahka,1558
Rovnik,https://www.hribi.net/gora/rovnik/21/1935,"Škofjeloško, Cerkljansko hribovje in Jelovica",707,lahka,lahka,1559
Sveta Lucija nad Studenicami,https://www.hribi.net/gora/sveta_lucija_nad_studenicami/4/2359,Pohorje in ostala severovzhodna Slovenija,290,lahka,lahka,1560
Mešenik,https://www.hribi.net/gora/mesenik/3/1995,Kamniško Savinjske Alpe,1099,ni podatka,ni podatka,1561
Požgani rob,https://www.hribi.net/gora/pozgani_rob/11/1782,Karavanke,1513,lahka,lahka,1562
Sv. Marija Magdalena (Dramlje),https://www.hribi.net/gora/sv_marija_magdalena_dramlje/11/2354,Karavanke,327,lahka,lahka,1566
Vrh Skopice,https://www.hribi.net/gora/vrh_skopice/26/1987,"Goriško, Notranjsko in Snežniško hribovje",863,lahka,lahka,1567
Sveti Vid pod Jernejevim vrhom,https://www.hribi.net/gora/sveti_vid_pod_jernejevim_vrhom/11/2368,Karavanke,1075,lahka,lahka,1568
Macna / Matzen,https://www.hribi.net/gora/macna___matzen/11/2126,Karavanke,1627,delno zahtevna,zahtevna,1569
Sv. Urban (Cmereška Gorca),https://www.hribi.net/gora/sv_urban_cmereska_gorca/25/2330,Zasavsko - Posavsko hribovje in Dolenjska,322,lahka,lahka,1570
Gozdarska koča Pri logarnici,https://www.hribi.net/gora/gozdarska_koca_pri_logarnici/26/1465,"Goriško, Notranjsko in Snežniško hribovje",889,lahka,lahka,1573
Sveti Lambert,https://www.hribi.net/gora/sveti_lambert/25/1447,Zasavsko - Posavsko hribovje in Dolenjska,643,lahka,lahka,1576
Vrh križa,https://www.hribi.net/gora/vrh_kriza/26/1713,"Goriško, Notranjsko in Snežniško hribovje",411,lahka,lahka,1577
Belovka,https://www.hribi.net/gora/belovka/26/2135,"Goriško, Notranjsko in Snežniško hribovje",848,lahka,lahka,1581
Jagršče,https://www.hribi.net/gora/jagrsce/21/1969,"Škofjeloško, Cerkljansko hribovje in Jelovica",663,lahka,lahka,1584
Veliki vrh (Lajše),https://www.hribi.net/gora/veliki_vrh_lajse/21/1710,"Škofjeloško, Cerkljansko hribovje in Jelovica",881,lahka,lahka,1585
Stegovniški slap,https://www.hribi.net/gora/stegovniski_slap/11/2093,Karavanke,872,lahka,lahka,1587
Malnež,https://www.hribi.net/gora/malnez/11/1407,Karavanke,846,lahka,lahka,1591
Sveti Jošt v Trebenčah,https://www.hribi.net/gora/sveti_jost_v_trebencah/21/2378,"Škofjeloško, Cerkljansko hribovje in Jelovica",573,delno zahtevna,delno zahtevna,1592
Planina Luža,https://www.hribi.net/gora/planina_luza/11/1272,Karavanke,1250,lahka,lahka,1593
Sveta Ana (Macna) / St. Anna (Matzen),https://www.hribi.net/gora/sveta_ana_macna___st_anna_matzen/11/2127,Karavanke,1536,lahka,delno zahtevna,1595
Lovska koča Urška,https://www.hribi.net/gora/lovska_koca_urska/26/1129,"Goriško, Notranjsko in Snežniško hribovje",908,lahka,lahka,1596
Brezje / Montemaggiore,https://www.hribi.net/gora/brezje___montemaggiore/1/2153,Julijske Alpe,819,lahka,lahka,1599
Lovski dom pod Glavico,https://www.hribi.net/gora/lovski_dom_pod_glavico/26/1155,"Goriško, Notranjsko in Snežniško hribovje",610,lahka,lahka,1604
Sveti Ivan nad Divjimi babami,https://www.hribi.net/gora/sveti_ivan_nad_divjimi_babami/21/1966,"Škofjeloško, Cerkljansko hribovje in Jelovica",573,delno zahtevna,delno zahtevna,1606
Cerkev Loretske Matere Božje v Suši,https://www.hribi.net/gora/cerkev_loretske_matere_bozje_v_susi/21/1473,"Škofjeloško, Cerkljansko hribovje in Jelovica",560,lahka,lahka,1607
Žagarjev hlev v Grobljah,https://www.hribi.net/gora/zagarjev_hlev_v_grobljah/21/1474,"Škofjeloško, Cerkljansko hribovje in Jelovica",1035,lahka,lahka,1608
Mali Trebelnik,https://www.hribi.net/gora/mali_trebelnik/26/1290,"Goriško, Notranjsko in Snežniško hribovje",807,lahka,lahka,1611
Sv. Ilija (Spodnje Dramlje),https://www.hribi.net/gora/sv_ilija_spodnje_dramlje/11/2350,Karavanke,304,lahka,lahka,1615
