Ime,URL,Gorovje,Višina (m),Zahtevnost (min),Zahtevnost (max),Priljubljenost
Kocbekov dom na Korošici,https://www.hribi.net/gora/kocbekov_dom_na_korosici/3/199,Kamniško Savinjske Alpe,1808,lahka,zahtevna,92
Sveti Jakob,https://www.hribi.net/gora/sveti_jakob/5/119,Polhograjsko hribovje in Ljubljana,806,lahka,lahka,93
Mali Golak,https://www.hribi.net/gora/mali_golak/26/511,"Goriško, Notranjsko in Snežniško hribovje",1495,lahka,lahka,94
Koča na Dobrči,https://www.hribi.net/gora/koca_na_dobrci/3/130,Kamniško Savinjske Alpe,1478,lahka,delno zahtevna,95
Ciprnik,https://www.hribi.net/gora/ciprnik/1/709,Julijske Alpe,1745,lahka,lahka,96
Dom v Tamarju,https://www.hribi.net/gora/dom_v_tamarju/1/286,Julijske Alpe,1108,lahka,lahka,97
Koča na Planini nad Vrhniko,https://www.hribi.net/gora/koca_na_planini_nad_vrhniko/26/669,"Goriško, Notranjsko in Snežniško hribovje",733,lahka,lahka,98
Koča na Uskovnici,https://www.hribi.net/gora/koca_na_uskovnici/1/342,Julijske Alpe,1154,lahka,lahka,99
Vodnikov dom na Velem polju,https://www.hribi.net/gora/vodnikov_dom_na_velem_polju/1/139,Julijske Alpe,1817,lahka,zahtevna,100
Velika (Koroška) Baba,https://www.hribi.net/gora/velika_koroska_baba/3/666,Kamniško Savinjske Alpe,2127,delno zahtevna,zahtevna,101
Špik Hude police / Cima di Terrarossa,https://www.hribi.net/gora/spik_hude_police___cima_di_terrarossa/1/1053,Julijske Alpe,2420,lahka,zahtevna,102
Kanjavec,https://www.hribi.net/gora/kanjavec/1/14,Julijske Alpe,2569,lahka,zahtevna,103
Dom na Okrešlju,https://www.hribi.net/gora/dom_na_okreslju/3/167,Kamniško Savinjske Alpe,1396,delno zahtevna,delno zahtevna,104
Koča v Krnici,https://www.hribi.net/gora/koca_v_krnici/1/206,Julijske Alpe,1113,lahka,lahka,105
Peč (Tromeja),https://www.hribi.net/gora/pec_tromeja/11/302,Karavanke,1508,lahka,lahka,106
Planina Korošica,https://www.hribi.net/gora/planina_korosica/11/71,Karavanke,1554,lahka,zahtevna,107
Konj,https://www.hribi.net/gora/konj/3/289,Kamniško Savinjske Alpe,1803,lahka,zahtevna,108
Kokoš,https://www.hribi.net/gora/kokos/26/1125,"Goriško, Notranjsko in Snežniško hribovje",670,lahka,lahka,109
Kompotela,https://www.hribi.net/gora/kompotela/3/319,Kamniško Savinjske Alpe,1989,lahka,lahka,110
Rjavina,https://www.hribi.net/gora/rjavina/1/27,Julijske Alpe,2532,zahtevna,zahtevna,111
Krofička,https://www.hribi.net/gora/kroficka/3/1035,Kamniško Savinjske Alpe,2083,zahtevna,zahtevna,112
Kranjska koča na Ledinah,https://www.hribi.net/gora/kranjska_koca_na_ledinah/3/225,Kamniško Savinjske Alpe,1700,delno zahtevna,zahtevna,113
Trdinov vrh,https://www.hribi.net/gora/trdinov_vrh/25/735,Zasavsko - Posavsko hribovje in Dolenjska,1178,lahka,lahka,114
Veliko Kladivo,https://www.hribi.net/gora/veliko_kladivo/11/344,Karavanke,2094,lahka,zahtevna,115
Gradiška Tura,https://www.hribi.net/gora/gradiska_tura/26/863,"Goriško, Notranjsko in Snežniško hribovje",793,lahka,zahtevna,116
Bavški Grintavec,https://www.hribi.net/gora/bavski_grintavec/1/679,Julijske Alpe,2347,zahtevna,zahtevna,117
Veliki Draški vrh,https://www.hribi.net/gora/veliki_draski_vrh/1/397,Julijske Alpe,2243,delno zahtevna,delno zahtevna,118
Sabotin,https://www.hribi.net/gora/sabotin/26/541,"Goriško, Notranjsko in Snežniško hribovje",609,lahka,delno zahtevna,119
Visoki Kanin,https://www.hribi.net/gora/visoki_kanin/1/12,Julijske Alpe,2587,zahtevna,zahtevna,120
Koča na Planini pri Jezeru,https://www.hribi.net/gora/koca_na_planini_pri_jezeru/1/140,Julijske Alpe,1453,lahka,zahtevna,121
Kofce gora,https://www.hribi.net/gora/kofce_gora/11/343,Karavanke,1967,lahka,delno zahtevna,122
Suhi vrh (Nanos),https://www.hribi.net/gora/suhi_vrh_nanos/26/1215,"Goriško, Notranjsko in Snežniško hribovje",1313,lahka,delno zahtevna,123
Krvavec,https://www.hribi.net/gora/krvavec/3/1068,Kamniško Savinjske Alpe,1853,lahka,lahka,124
Valvasorjev dom pod Stolom,https://www.hribi.net/gora/valvasorjev_dom_pod_stolom/11/382,Karavanke,1181,lahka,lahka,125
Viš/Jof Fuart,https://www.hribi.net/gora/vis_jof_fuart/1/1041,Julijske Alpe,2666,zahtevna,zahtevna,126
Koča na Doliču,https://www.hribi.net/gora/koca_na_dolicu/1/100,Julijske Alpe,2151,lahka,zahtevna,127
Celjska koča,https://www.hribi.net/gora/celjska_koca/25/878,Zasavsko - Posavsko hribovje in Dolenjska,652,lahka,zahtevna,128
Koroška Rinka (Križ),https://www.hribi.net/gora/koroska_rinka_kriz/3/387,Kamniško Savinjske Alpe,2433,zahtevna,zahtevna,129
Dom Planika pod Triglavom,https://www.hribi.net/gora/dom_planika_pod_triglavom/1/94,Julijske Alpe,2401,lahka,zahtevna,130
Vrh Korena,https://www.hribi.net/gora/vrh_korena/3/316,Kamniško Savinjske Alpe,1999,lahka,zahtevna,131
Domžalski dom na Mali planini,https://www.hribi.net/gora/domzalski_dom_na_mali_planini/3/170,Kamniško Savinjske Alpe,1534,lahka,delno zahtevna,132
Ledinski vrh,https://www.hribi.net/gora/ledinski_vrh/3/336,Kamniško Savinjske Alpe,2108,delno zahtevna,zahtevna,133
Sveta Katarina (Topol),https://www.hribi.net/gora/sveta_katarina_topol/5/1661,Polhograjsko hribovje in Ljubljana,738,lahka,lahka,134
Koča na planini Razor,https://www.hribi.net/gora/koca_na_planini_razor/1/684,Julijske Alpe,1315,lahka,zahtevna,135
Koča na Čemšeniški planini,https://www.hribi.net/gora/koca_na_cemseniski_planini/25/762,Zasavsko - Posavsko hribovje in Dolenjska,1120,lahka,delno zahtevna,136
Gora Oljka,https://www.hribi.net/gora/gora_oljka/3/850,Kamniško Savinjske Alpe,733,lahka,lahka,137
Košutica,https://www.hribi.net/gora/kosutica/11/72,Karavanke,1968,lahka,zahtevna,138
Goli vrh,https://www.hribi.net/gora/goli_vrh/3/364,Kamniško Savinjske Alpe,1787,lahka,lahka,139
Osolnik,https://www.hribi.net/gora/osolnik/5/188,Polhograjsko hribovje in Ljubljana,858,lahka,lahka,140
Kalška gora,https://www.hribi.net/gora/kalska_gora/3/103,Kamniško Savinjske Alpe,2047,delno zahtevna,zahtevna,141
Vršič vrh,https://www.hribi.net/gora/vrsic_vrh/1/426,Julijske Alpe,1737,lahka,lahka,142
Pršivec,https://www.hribi.net/gora/prsivec/1/254,Julijske Alpe,1761,lahka,zahtevna,143
Mrežce,https://www.hribi.net/gora/mrezce/1/81,Julijske Alpe,1965,lahka,zahtevna,144
Vajnež,https://www.hribi.net/gora/vajnez/11/376,Karavanke,2104,lahka,zahtevna,145
Toško Čelo,https://www.hribi.net/gora/tosko_celo/5/128,Polhograjsko hribovje in Ljubljana,590,lahka,lahka,146
Sveti Primož nad Kamnikom,https://www.hribi.net/gora/sveti_primoz_nad_kamnikom/3/544,Kamniško Savinjske Alpe,826,lahka,lahka,147
Veliki Zvoh,https://www.hribi.net/gora/veliki_zvoh/3/73,Kamniško Savinjske Alpe,1971,lahka,lahka,148
Mirna gora,https://www.hribi.net/gora/mirna_gora/25/475,Zasavsko - Posavsko hribovje in Dolenjska,1047,lahka,lahka,149
Svinjak,https://www.hribi.net/gora/svinjak/1/419,Julijske Alpe,1653,delno zahtevna,delno zahtevna,150
Čaven,https://www.hribi.net/gora/caven/26/1210,"Goriško, Notranjsko in Snežniško hribovje",1185,lahka,lahka,151
Velika Mojstrovka,https://www.hribi.net/gora/velika_mojstrovka/1/386,Julijske Alpe,2366,zahtevna,zahtevna,152
Črni vrh (Čemšeniška planina),https://www.hribi.net/gora/crni_vrh_cemseniska_planina/25/763,Zasavsko - Posavsko hribovje in Dolenjska,1204,lahka,delno zahtevna,153
Mojčin dom na Vitrancu,https://www.hribi.net/gora/mojcin_dom_na_vitrancu/1/710,Julijske Alpe,1555,lahka,lahka,154
Križ,https://www.hribi.net/gora/kriz/1/257,Julijske Alpe,2410,delno zahtevna,zahtevna,155
Sleme,https://www.hribi.net/gora/sleme/1/332,Julijske Alpe,2077,lahka,lahka,157
Stol (Julijske Alpe),https://www.hribi.net/gora/stol_julijske_alpe/1/750,Julijske Alpe,1673,lahka,delno zahtevna,158
Limbarska gora,https://www.hribi.net/gora/limbarska_gora/25/530,Zasavsko - Posavsko hribovje in Dolenjska,773,lahka,lahka,159
Možic,https://www.hribi.net/gora/mozic/1/205,Julijske Alpe,1602,lahka,lahka,160
Dom Valentina Staniča pod Triglavom,https://www.hribi.net/gora/dom_valentina_stanica_pod_triglavom/1/203,Julijske Alpe,2332,lahka,zahtevna,161
Koča pod Bogatinom,https://www.hribi.net/gora/koca_pod_bogatinom/1/198,Julijske Alpe,1513,lahka,lahka,162
Sinji vrh,https://www.hribi.net/gora/sinji_vrh/26/813,"Goriško, Notranjsko in Snežniško hribovje",1002,lahka,lahka,163
Ribniška koča,https://www.hribi.net/gora/ribniska_koca/4/517,Pohorje in ostala severovzhodna Slovenija,1507,lahka,lahka,164
Otliško okno,https://www.hribi.net/gora/otlisko_okno/26/816,"Goriško, Notranjsko in Snežniško hribovje",800,lahka,lahka,165
Grmada,https://www.hribi.net/gora/grmada/5/451,Polhograjsko hribovje in Ljubljana,676,lahka,zahtevna,166
Koča Antona Bavčerja na Čavnu,https://www.hribi.net/gora/koca_antona_bavcerja_na_cavnu/26/500,"Goriško, Notranjsko in Snežniško hribovje",1242,lahka,lahka,168
Črni vrh,https://www.hribi.net/gora/crni_vrh/4/519,Pohorje in ostala severovzhodna Slovenija,1543,lahka,lahka,169
Virnikov Grintovec,https://www.hribi.net/gora/virnikov_grintovec/11/314,Karavanke,1654,lahka,lahka,170
Zasavska Sveta gora,https://www.hribi.net/gora/zasavska_sveta_gora/25/214,Zasavsko - Posavsko hribovje in Dolenjska,852,lahka,delno zahtevna,171
Ojstrc / Hochobir,https://www.hribi.net/gora/ojstrc___hochobir/11/560,Karavanke,2139,lahka,delno zahtevna,172
Javornik nad Črnim Vrhom,https://www.hribi.net/gora/javornik_nad_crnim_vrhom/26/809,"Goriško, Notranjsko in Snežniško hribovje",1240,lahka,lahka,173
Velika Zelenica,https://www.hribi.net/gora/velika_zelenica/3/697,Kamniško Savinjske Alpe,2114,lahka,lahka,174
Dom pod Storžičem,https://www.hribi.net/gora/dom_pod_storzicem/3/190,Kamniško Savinjske Alpe,1123,lahka,lahka,175
Janče,https://www.hribi.net/gora/jance/25/726,Zasavsko - Posavsko hribovje in Dolenjska,792,lahka,lahka,176
Visoka Vrbanova špica,https://www.hribi.net/gora/visoka_vrbanova_spica/1/321,Julijske Alpe,2408,lahka,zahtevna,177
